Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Altura (product.metafields.custom.height),Comprimento (product.metafields.custom.length),Largura (product.metafields.custom.width),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Bra closure type (product.metafields.shopify.bra-closure-type),Bra coverage (product.metafields.shopify.bra-coverage),Bra features (product.metafields.shopify.bra-features),Bra strap type (product.metafields.shopify.bra-strap-type),Bra style (product.metafields.shopify.bra-style),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Cup size (product.metafields.shopify.cup-size),Fabric (product.metafields.shopify.fabric),Material (product.metafields.shopify.material),Pants length type (product.metafields.shopify.pants-length-type),Shape (product.metafields.shopify.shape),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vevshao-a22-projetor-full-hd-1080p-4k-1000ansi-android,Projetor Smart 4K Ultra HD 1000 ANSI com Android e Foco Automático – Cinema em Casa Profissional,"<h1 data-start=""199"" data-end=""221"">🎬 CineMax Pro 4K™</h1>
<h2 data-start=""222"" data-end=""268"">Transforme Sua Casa em um Verdadeiro Cinema</h2>
<p data-start=""270"" data-end=""450"">Imagine assistir seus filmes, séries, jogos e futebol em uma tela de até <strong data-start=""343"" data-end=""360"">300 polegadas</strong>, com qualidade absurda de imagem e som envolvente — tudo isso sem precisar de TV gigante.</p>
<p data-start=""452"" data-end=""536"">O <strong data-start=""454"" data-end=""473"">CineMax Pro 4K™</strong> entrega experiência de cinema profissional dentro da sua casa.</p>
<hr data-start=""538"" data-end=""541"">
<h1 data-start=""543"" data-end=""573"">💡 IMAGEM REALMENTE PODEROSA</h1>
<h3 data-start=""575"" data-end=""604"">🔆 1000 ANSI LÚMENS REAIS</h3>
<p data-start=""605"" data-end=""631"">Esqueça projetores fracos.</p>
<p data-start=""633"" data-end=""758"">Com <strong data-start=""637"" data-end=""671"">1000 ANSI de brilho verdadeiro</strong>, você pode assistir durante o dia sem precisar deixar o ambiente completamente escuro.</p>
<p data-start=""760"" data-end=""848"">✔ Imagem vibrante<br data-start=""777"" data-end=""780"">✔ Cores intensas<br data-start=""796"" data-end=""799"">✔ Excelente visibilidade mesmo com luz ambiente</p>
<hr data-start=""850"" data-end=""853"">
<h3 data-start=""855"" data-end=""895"">🎥 FULL HD NATIVO 1080P + SUPORTE 4K</h3>
<p data-start=""896"" data-end=""936"">Resolução real de <strong data-start=""914"" data-end=""935"">1920x1080 Full HD</strong>.</p>
<p data-start=""938"" data-end=""1010"">Muito mais nitidez e detalhes do que projetores que apenas “simulam” HD.</p>
<p data-start=""1012"" data-end=""1107"">✔ Imagem ultra definida<br data-start=""1035"" data-end=""1038"">✔ Textos e legendas nítidas<br data-start=""1065"" data-end=""1068"">✔ Ideal para filmes, esportes e games</p>
<hr data-start=""1109"" data-end=""1112"">
<h3 data-start=""1114"" data-end=""1138"">⚫ CONTRASTE 20.000:1</h3>
<p data-start=""1139"" data-end=""1175"">Pretos profundos e brancos intensos.</p>
<p data-start=""1177"" data-end=""1242"">Você percebe cada detalhe nas cenas escuras, sem imagem “lavada”.</p>
<hr data-start=""1244"" data-end=""1247"">
<h1 data-start=""1249"" data-end=""1298"">🧠 INTELIGÊNCIA AUTOMÁTICA (Zero Dor de Cabeça)</h1>
<h3 data-start=""1300"" data-end=""1322"">🎯 FOCO AUTOMÁTICO</h3>
<p data-start=""1323"" data-end=""1349"">Ligou, ele ajusta sozinho.</p>
<p data-start=""1351"" data-end=""1386"">Nada de ficar girando botão manual.</p>
<hr data-start=""1388"" data-end=""1391"">
<h3 data-start=""1393"" data-end=""1422"">📐 KEYSTONE 6D AUTOMÁTICO</h3>
<p data-start=""1423"" data-end=""1464"">Pode colocar torto, de lado ou inclinado.</p>
<p data-start=""1466"" data-end=""1530"">Ele corrige automaticamente a imagem e deixa perfeitamente reta.</p>
<p data-start=""1532"" data-end=""1630"">✔ Correção vertical<br data-start=""1551"" data-end=""1554"">✔ Correção horizontal<br data-start=""1575"" data-end=""1578"">✔ Correção de canto<br data-start=""1597"" data-end=""1600"">✔ Ajuste inteligente de tela</p>
<hr data-start=""1632"" data-end=""1635"">
<h1 data-start=""1637"" data-end=""1684"">📺 ANDROID 9.0 INTEGRADO (Não precisa TV Box)</h1>
<p data-start=""1686"" data-end=""1715"">Sistema Android completo com:</p>
<p data-start=""1717"" data-end=""1788"">✔ 2GB RAM<br data-start=""1726"" data-end=""1729"">✔ 32GB armazenamento<br data-start=""1749"" data-end=""1752"">✔ WiFi 2.4G + 5G<br data-start=""1768"" data-end=""1771"">✔ Bluetooth 5.0</p>
<p data-start=""1790"" data-end=""1847"">Baixe seus aplicativos favoritos diretamente no projetor:</p>
<p data-start=""1849"" data-end=""1905"">Netflix<br data-start=""1856"" data-end=""1859"">YouTube<br data-start=""1866"" data-end=""1869"">Prime Video<br data-start=""1880"" data-end=""1883"">Apps de IPTV<br data-start=""1895"" data-end=""1898"">Jogos</p>
<p data-start=""1907"" data-end=""1960"">Tudo direto nele, sem precisar conectar nada externo.</p>
<hr data-start=""1962"" data-end=""1965"">
<h1 data-start=""1967"" data-end=""1999"">🔊 SOM POTENTE INTEGRADO (20W)</h1>
<p data-start=""2001"" data-end=""2045"">Sistema duplo de alto-falantes <strong data-start=""2032"" data-end=""2045"">10W + 10W</strong></p>
<p data-start=""2047"" data-end=""2075"">Som alto, limpo e encorpado.</p>
<p data-start=""2077"" data-end=""2152"">✔ Diálogos claros<br data-start=""2094"" data-end=""2097"">✔ Graves fortes<br data-start=""2112"" data-end=""2115"">✔ Não precisa comprar caixa externa</p>
<p data-start=""2154"" data-end=""2186"">Experiência imersiva de verdade.</p>
<hr data-start=""2188"" data-end=""2191"">
<h1 data-start=""2193"" data-end=""2224"">🛡️ PROJETADO PARA DURAR ANOS</h1>
<h3 data-start=""2226"" data-end=""2264"">🔒 MOTOR ÓPTICO SELADO ANTI-POEIRA</h3>
<p data-start=""2266"" data-end=""2336"">A maioria dos projetores perde brilho com o tempo por causa de poeira.</p>
<p data-start=""2338"" data-end=""2390"">O CineMax Pro 4K™ possui sistema óptico fechado que:</p>
<p data-start=""2392"" data-end=""2509"">✔ Reduz em mais de 90% a entrada de poeira<br data-start=""2434"" data-end=""2437"">✔ Evita manchas na imagem<br data-start=""2462"" data-end=""2465"">✔ Mantém brilho e cor por muito mais tempo</p>
<p data-start=""2511"" data-end=""2561"">Ideal para casas com pets ou ambientes com poeira.</p>
<hr data-start=""2563"" data-end=""2566"">
<h1 data-start=""2568"" data-end=""2602"">💡 VIDA ÚTIL DE ATÉ 30.000 HORAS</h1>
<p data-start=""2604"" data-end=""2662"">Se usar 10 horas por dia, pode durar cerca de <strong data-start=""2650"" data-end=""2661"">10 anos</strong>.</p>
<p data-start=""2664"" data-end=""2695"">Um investimento de longo prazo.</p>
<hr data-start=""2697"" data-end=""2700"">
<h1 data-start=""2702"" data-end=""2730"">📏 TAMANHO DE TELA GIGANTE</h1>
<p data-start=""2732"" data-end=""2810"">✔ De 40” até 300”<br data-start=""2749"" data-end=""2752"">✔ Distância de projeção: 1,06m até 8m<br data-start=""2789"" data-end=""2792"">✔ Proporção 16:9</p>
<p data-start=""2812"" data-end=""2823"">Transforme:</p>
<p data-start=""2825"" data-end=""2895"">Sala<br data-start=""2829"" data-end=""2832"">Quarto<br data-start=""2838"" data-end=""2841"">Área externa<br data-start=""2853"" data-end=""2856"">Escritório<br data-start=""2866"" data-end=""2869"">Igreja<br data-start=""2875"" data-end=""2878"">Sala de reunião</p>
<hr data-start=""2897"" data-end=""2900"">
<h1 data-start=""2902"" data-end=""2921"">🎮 PERFEITO PARA:</h1>
<p data-start=""2923"" data-end=""3030"">🎬 Filmes e séries<br data-start=""2941"" data-end=""2944"">⚽ Futebol e esportes<br data-start=""2964"" data-end=""2967"">🎮 Games<br data-start=""2975"" data-end=""2978"">📊 Apresentações profissionais<br data-start=""3008"" data-end=""3011"">🏠 Cinema em casa</p>
<hr data-start=""3032"" data-end=""3035"">
<h1 data-start=""3037"" data-end=""3050"">🔌 CONEXÕES</h1>
<p data-start=""3052"" data-end=""3121"">✔ HDMI<br data-start=""3058"" data-end=""3061"">✔ USB<br data-start=""3066"" data-end=""3069"">✔ AV<br data-start=""3073"" data-end=""3076"">✔ Espelhamento sem fio (AirPlay / Miracast)</p>
<p data-start=""3123"" data-end=""3138"">Compatível com:</p>
<p data-start=""3140"" data-end=""3192"">Videogame<br data-start=""3149"" data-end=""3152"">Notebook<br data-start=""3160"" data-end=""3163"">TV Box<br data-start=""3169"" data-end=""3172"">Pendrive<br data-start=""3180"" data-end=""3183"">Celular</p>
<hr data-start=""3194"" data-end=""3197"">
<h1 data-start=""3199"" data-end=""3222"">📦 O QUE VEM NA CAIXA</h1>
<p data-start=""3224"" data-end=""3320"">✔ 1 Projetor CineMax Pro 4K™<br data-start=""3252"" data-end=""3255"">✔ 1 Controle Remoto<br data-start=""3274"" data-end=""3277"">✔ 1 Cabo de Energia<br data-start=""3296"" data-end=""3299"">✔ Manual do Usuário</p>
<hr data-start=""3322"" data-end=""3325"">
<h1 data-start=""3327"" data-end=""3355"">📊 ESPECIFICAÇÕES TÉCNICAS</h1>
<p data-start=""3357"" data-end=""3576"">• Brilho: 1000 ANSI<br data-start=""3376"" data-end=""3379"">• Resolução: 1920x1080 Full HD<br data-start=""3409"" data-end=""3412"">• Suporte máximo: 4K<br data-start=""3432"" data-end=""3435"">• Contraste: 20.000:1<br data-start=""3456"" data-end=""3459"">• Sistema: Android 9.0<br data-start=""3481"" data-end=""3484"">• Alto-falantes: 10W x2<br data-start=""3507"" data-end=""3510"">• Vida útil LED: 30.000 horas<br data-start=""3539"" data-end=""3542"">• Consumo: 130W<br data-start=""3557"" data-end=""3560"">• Peso: 3,14kg</p>
<hr data-start=""3578"" data-end=""3581"">
<h1 data-start=""3583"" data-end=""3635"">🚀 POR QUE ELE É DIFERENTE DOS PROJETORES BARATOS?</h1>
<p data-start=""3637"" data-end=""3803"">✔ Brilho real (não lúmens falsos)<br data-start=""3670"" data-end=""3673"">✔ Sistema Android integrado<br data-start=""3700"" data-end=""3703"">✔ Foco automático<br data-start=""3720"" data-end=""3723"">✔ Keystone automático 6D<br data-start=""3747"" data-end=""3750"">✔ Som potente embutido<br data-start=""3772"" data-end=""3775"">✔ Motor óptico anti-poeira</p>",Nuvem Shop,Uncategorized,"","",true,Title,Default Title,,,,,,,,200007763:203372089,4233.0,,continue,dsers-fulfillment-service,497.00,987.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0629/8858/3043/files/Sc580a22e13534a9fa9f7629aed810ceff.webp?v=1772038485,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,kg,,2132.76,active
vevshao-a22-projetor-full-hd-1080p-4k-1000ansi-android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/8858/3043/files/S4cd590f00f66447f8cb2509e9ea2c7dak.webp?v=1772039015,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vevshao-a22-projetor-full-hd-1080p-4k-1000ansi-android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/8858/3043/files/S3894421df77143ad97600d1d8003bf0dO.webp?v=1772039015,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vevshao-a22-projetor-full-hd-1080p-4k-1000ansi-android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/8858/3043/files/S623d38c4f3bc4f1a8cc6a60948282ec1d.webp?v=1772039015,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vevshao-a22-projetor-full-hd-1080p-4k-1000ansi-android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/8858/3043/files/S9c86f74b5ef64ff599e19216baed054en.webp?v=1772039015,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vevshao-a22-projetor-full-hd-1080p-4k-1000ansi-android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/8858/3043/files/S378b75da04ef4634be188f3ca6452ce2u.webp?v=1772039015,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vevshao-a22-projetor-full-hd-1080p-4k-1000ansi-android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/8858/3043/files/Sc0a6de5624614d1c842d738011c58adc9.webp?v=1772039015,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vevshao-a22-projetor-full-hd-1080p-4k-1000ansi-android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/8858/3043/files/S39f8af99ad9e44388f8a272c66df15c3Z.webp?v=1772038485,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vevshao-a22-projetor-full-hd-1080p-4k-1000ansi-android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/8858/3043/files/Sbcdbeb3f218d451288922897df2ae80ck.webp?v=1772038485,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vevshao-a22-projetor-full-hd-1080p-4k-1000ansi-android,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0629/8858/3043/files/S0bfc2664284d495dbb96f173edf41377N.webp?v=1772038485,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
